Designator,Mid X,Mid Y,Rotation,Layer
CONN1,159.225,-52.31,0.0,top
D1,0.0,-5.0,0.0,top
D10,180.5,-5.0,0.0,top
D11,0.0,-24.0,0.0,top
D12,23.75,-24.0,0.0,top
D13,42.75,-24.0,0.0,top
D14,61.75,-24.0,0.0,top
D15,80.75,-24.0,0.0,top
D16,99.75,-24.0,0.0,top
D17,118.75,-24.0,0.0,top
D18,137.75,-24.0,0.0,top
D19,156.75,-24.0,0.0,top
D2,23.75,-5.0,0.0,top
D20,180.5,-24.0,0.0,top
D21,-4.75,-43.0,0.0,top
D22,14.25,-43.0,0.0,top
D23,33.25,-43.0,0.0,top
D24,52.25,-43.0,0.0,top
D25,71.25,-43.0,0.0,top
D26,90.25,-43.0,0.0,top
D27,109.25,-43.0,0.0,top
D28,128.25,-43.0,0.0,top
D29,147.25,-43.0,0.0,top
D3,42.75,-5.0,0.0,top
D30,166.25,-43.0,0.0,top
D31,185.25,-43.0,0.0,top
D32,37.5,-62.95,0.0,top
D33,61.75,-62.0,0.0,top
D34,80.75,-66.75,0.0,top
D35,99.75,-66.75,0.0,top
D36,118.75,-62.0,0.0,top
D37,143.0,-62.95,0.0,top
D4,61.75,-5.0,0.0,top
D5,80.75,-5.0,0.0,top
D6,99.75,-5.0,0.0,top
D7,118.75,-5.0,0.0,top
D8,137.75,-5.0,0.0,top
D9,156.75,-5.0,0.0,top
H1,-4.75,12.4,0.0,top
H2,90.25,12.4,0.0,top
H3,185.25,12.4,0.0,top
H4,27.25,-58.375,0.0,top
H5,153.25,-58.375,0.0,top
PAD1,159.225,-52.31,0.0,top
SW1,23.75,-64.2,180.0,top
